image,source,category,id
000001.jpg,user,"short sleeve top, trousers","1, 8"
000003.jpg,user,long sleeve dress,11
000004.jpg,user,long sleeve dress,11
000005.jpg,user,long sleeve dress,11
000006.jpg,user,long sleeve dress,11
000007.jpg,shop,long sleeve dress,11
000008.jpg,shop,long sleeve dress,11
000009.jpg,user,long sleeve top,2
000010.jpg,user,long sleeve top,2
000011.jpg,shop,"long sleeve top, trousers","2, 8"
000012.jpg,shop,"long sleeve top, trousers","2, 8"
000013.jpg,shop,"long sleeve top, skirt","2, 9"
000014.jpg,shop,"long sleeve top, skirt","2, 9"
000015.jpg,shop,long sleeve top,2
000016.jpg,shop,"long sleeve top, trousers","2, 8"
000017.jpg,shop,"long sleeve top, trousers","2, 8"
000018.jpg,shop,"long sleeve top, trousers","2, 8"
000019.jpg,shop,"long sleeve top, skirt","2, 9"
000020.jpg,shop,long sleeve top,2
000021.jpg,user,"short sleeve top, skirt","1, 9"
000022.jpg,shop,"short sleeve top, skirt","1, 9"
000023.jpg,shop,"short sleeve top, skirt","1, 9"
000026.jpg,shop,"short sleeve top, skirt","1, 9"
000027.jpg,shop,"short sleeve top, skirt","1, 9"
000029.jpg,shop,"short sleeve top, skirt","1, 9"
000031.jpg,shop,"short sleeve top, skirt","1, 9"
000032.jpg,shop,"short sleeve top, skirt","1, 9"
000034.jpg,shop,"shorts, short sleeve top","7, 1"
000035.jpg,shop,"shorts, short sleeve top","7, 1"
000036.jpg,shop,"shorts, short sleeve top","7, 1"
000039.jpg,user,"short sleeve top, shorts","1, 7"
000040.jpg,user,"short sleeve top, shorts","1, 7"
000041.jpg,user,"shorts, short sleeve top","7, 1"
000042.jpg,user,"short sleeve top, shorts","1, 7"
000043.jpg,user,"short sleeve top, shorts","1, 7"
000044.jpg,user,"shorts, short sleeve top","7, 1"
000045.jpg,user,"shorts, short sleeve top","7, 1"
000046.jpg,user,"shorts, short sleeve top","7, 1"
000047.jpg,user,"short sleeve top, shorts","1, 7"
000048.jpg,user,"shorts, short sleeve top","7, 1"
000049.jpg,user,"short sleeve top, shorts","1, 7"
000050.jpg,user,"shorts, short sleeve top","7, 1"
000051.jpg,user,"short sleeve top, shorts","1, 7"
000052.jpg,user,"short sleeve top, shorts","1, 7"
000053.jpg,shop,"short sleeve top, shorts","1, 7"
000054.jpg,shop,"short sleeve top, shorts","1, 7"
000055.jpg,shop,"short sleeve top, shorts","1, 7"
000056.jpg,shop,"shorts, short sleeve top","7, 1"
000057.jpg,shop,"short sleeve top, shorts","1, 7"
000058.jpg,shop,"shorts, short sleeve top","7, 1"
000059.jpg,shop,"shorts, short sleeve top","7, 1"
000060.jpg,shop,"short sleeve top, shorts","1, 7"
000061.jpg,shop,"shorts, short sleeve top","7, 1"
000062.jpg,shop,"shorts, short sleeve top","7, 1"
000063.jpg,user,"short sleeve top, skirt","1, 9"
000064.jpg,user,"short sleeve top, skirt","1, 9"
000065.jpg,user,short sleeve top,1
000066.jpg,user,"short sleeve top, skirt","1, 9"
000067.jpg,user,"short sleeve top, shorts","1, 7"
000068.jpg,user,"short sleeve top, skirt","1, 9"
000069.jpg,shop,"short sleeve top, shorts","1, 7"
000070.jpg,shop,"short sleeve top, skirt","1, 9"
000071.jpg,user,short sleeve top,1
000072.jpg,user,short sleeve top,1
000073.jpg,shop,"trousers, short sleeve top","8, 1"
000074.jpg,shop,"short sleeve top, trousers","1, 8"
000075.jpg,shop,"short sleeve top, trousers","1, 8"
000076.jpg,shop,"short sleeve top, trousers","1, 8"
000077.jpg,shop,"short sleeve top, trousers","1, 8"
000078.jpg,shop,"trousers, short sleeve top","8, 1"
000079.jpg,shop,"short sleeve top, trousers","1, 8"
000080.jpg,shop,"trousers, short sleeve top","8, 1"
000081.jpg,shop,"trousers, short sleeve top","8, 1"
000082.jpg,shop,"short sleeve top, trousers","1, 8"
000083.jpg,shop,"short sleeve top, trousers","1, 8"
000084.jpg,user,long sleeve top,2
000085.jpg,user,long sleeve top,2
000086.jpg,user,long sleeve top,2
000087.jpg,shop,"long sleeve top, trousers","2, 8"
000088.jpg,shop,"long sleeve top, trousers","2, 8"
000089.jpg,shop,long sleeve top,2
000090.jpg,shop,"long sleeve top, trousers","2, 8"
000101.jpg,user,short sleeve top,1
000102.jpg,user,"short sleeve top, shorts","1, 7"
000103.jpg,user,short sleeve top,1
000104.jpg,user,short sleeve top,1
000105.jpg,user,short sleeve top,1
000106.jpg,user,"short sleeve top, trousers","1, 8"
000107.jpg,user,short sleeve top,1
000108.jpg,shop,"short sleeve top, trousers","1, 8"
000109.jpg,shop,"short sleeve top, trousers","1, 8"
000110.jpg,shop,"short sleeve top, trousers","1, 8"
000111.jpg,shop,"short sleeve top, trousers","1, 8"
000112.jpg,shop,"short sleeve top, trousers","1, 8"
000113.jpg,user,"trousers, short sleeve top","8, 1"
000114.jpg,shop,"trousers, long sleeve top","8, 2"
000115.jpg,shop,"trousers, long sleeve top","8, 2"
000116.jpg,shop,"trousers, long sleeve top","8, 2"
000117.jpg,shop,"trousers, long sleeve top","8, 2"
000118.jpg,shop,"trousers, long sleeve top","8, 2"
000119.jpg,shop,"trousers, long sleeve top","8, 2"
000120.jpg,shop,"trousers, long sleeve top","8, 2"
000121.jpg,shop,"trousers, long sleeve top","8, 2"
000122.jpg,shop,"trousers, long sleeve top","8, 2"
000123.jpg,shop,"trousers, long sleeve top","8, 2"
000124.jpg,shop,"trousers, long sleeve top","8, 2"
000125.jpg,user,"short sleeve top, trousers","1, 8"
000126.jpg,user,"short sleeve top, trousers","1, 8"
000127.jpg,user,"short sleeve top, trousers","1, 8"
000128.jpg,user,"short sleeve top, trousers","1, 8"
000129.jpg,user,"short sleeve top, trousers","1, 8"
000130.jpg,user,"short sleeve top, trousers","1, 8"
000131.jpg,user,"short sleeve top, trousers","1, 8"
000132.jpg,user,"short sleeve top, trousers","1, 8"
000133.jpg,shop,"short sleeve top, trousers","1, 8"
000134.jpg,shop,"short sleeve top, trousers","1, 8"
000135.jpg,shop,"short sleeve top, trousers","1, 8"
000136.jpg,shop,"short sleeve top, trousers","1, 8"
000137.jpg,shop,"short sleeve top, trousers","1, 8"
